"_id","Civilité","Découverte_Akigora","Mailing","SMS","Date_de_Création","Date_Mise_à_Jour","Acceptation_CGU","Validation_Email"
"6389f7a9d10d072727c11c54","male","bouche à oreille","FALSE","TRUE","02/11/2022","12/12/2022","VRAI","TRUE"
"6389df36d10d072727c11c2a","female","autre","FALSE","FALSE","02/11/2022","20/12/2022","VRAI","TRUE"
"6389cd68d10d072727c11bec","female","autre","TRUE","TRUE","02/11/2022","17/02/2023","VRAI","TRUE"
"6389c299d10d072727c11bad","male","bouche à oreille","FALSE","FALSE","02/11/2022","11/10/2023","VRAI","TRUE"
"6389b490d10d072727c11b7c","male","association partenaire","TRUE","TRUE","02/11/2022","02/02/2023","VRAI","TRUE"
"6389258fd10d072727c11b01","male","autre","FALSE","FALSE","01/11/2022","01/12/2022","VRAI","TRUE"
"63887955d10d072727c11988","female","autre","FALSE","FALSE","01/11/2022","30/11/2023","VRAI","TRUE"
"63886fffd10d072727c1195f","female","parrainage","FALSE","FALSE","01/11/2022","25/09/2023","VRAI","TRUE"
"63885798d10d072727c1192b","male","recherche web","FALSE","FALSE","01/11/2022","18/04/2023","VRAI","TRUE"
"63885658d10d072727c11927","female","bouche à oreille","FALSE","FALSE","01/11/2022","01/12/2022","VRAI","TRUE"
"6387c85dd10d072727c11840","female","entreprise partenaire","FALSE","FALSE","30/10/2022","28/07/2023","VRAI","TRUE"
"63875945d10d072727c1173b","male","autre","FALSE","FALSE","30/10/2022","30/11/2022","VRAI","TRUE"
"63860e2f6140661a3ba2411f","male","autre","FALSE","FALSE","29/10/2022","04/04/2023","VRAI","TRUE"
"6385de1d6140661a3ba24063","male","recherche web","FALSE","TRUE","29/10/2022","29/11/2022","VRAI","TRUE"
"6385dc6e6140661a3ba2405a","male","entreprise partenaire","FALSE","TRUE","29/10/2022","02/02/2023","VRAI","TRUE"
"6385d58e6140661a3ba24041","female","autre","TRUE","TRUE","29/10/2022","09/12/2022","VRAI","TRUE"
"6385d02ee6157d5bdc427347","female","autre","FALSE","FALSE","29/10/2022","23/11/2023","VRAI","TRUE"
"6385c749e6157d5bdc427312","male","association partenaire","TRUE","TRUE","29/10/2022","07/12/2022","VRAI","TRUE"
"6385acdce6157d5bdc4272cd","male","autre","FALSE","FALSE","29/10/2022","29/11/2022","VRAI","TRUE"
"6384e08be6157d5bdc427224","male","bouche à oreille","TRUE","FALSE","28/10/2022","18/01/2023","VRAI","TRUE"
"6384cc2ce6157d5bdc42720e","male","autre","FALSE","FALSE","28/10/2022","18/01/2023","VRAI","TRUE"
"6384acd9e6157d5bdc4271bf","female","bouche à oreille","TRUE","FALSE","28/10/2022","04/05/2023","VRAI","TRUE"
"638488f0983abd240e842b5a","male","autre","FALSE","TRUE","28/10/2022","28/11/2022","VRAI","TRUE"
"63847975983abd240e842af9","female","autre","FALSE","FALSE","28/10/2022","28/11/2022","VRAI","TRUE"
"63846935983abd240e842a93","female","bouche à oreille","FALSE","FALSE","28/10/2022","27/11/2023","VRAI","TRUE"
"638373ad983abd240e842983","male","parrainage","FALSE","TRUE","27/10/2022","31/10/2023","VRAI","TRUE"
"63810884983abd240e8424b5","male","autre","FALSE","FALSE","25/10/2022","01/12/2022","VRAI","TRUE"
"6380de32983abd240e842484","male","autre","FALSE","FALSE","25/10/2022","30/11/2022","VRAI","TRUE"
"6380c880983abd240e84244c","male","autre","FALSE","FALSE","25/10/2022","29/11/2022","VRAI","TRUE"
"6380bf78983abd240e842422","male","bouche à oreille","FALSE","FALSE","25/10/2022","15/02/2023","VRAI","TRUE"
"63807b18983abd240e8423d3","female","autre","FALSE","FALSE","25/10/2022","23/10/2023","VRAI","TRUE"
"6380760a0cde0121590e25c8","female","autre","FALSE","FALSE","25/10/2022","25/01/2023","VRAI","TRUE"
"637ff705baa4e673be43d07f","female","autre","FALSE","TRUE","24/10/2022","24/01/2023","VRAI","TRUE"
"637f9268baa4e673be43d00e","male","parrainage","FALSE","TRUE","24/10/2022","24/11/2022","VRAI","TRUE"
"637f7122baa4e673be43cfe6","female","bouche à oreille","FALSE","FALSE","24/10/2022","24/11/2022","VRAI","TRUE"
"637ec1075611a441750a5c06","male","autre","TRUE","TRUE","24/10/2022","30/11/2023","VRAI","TRUE"
"637e500e5611a441750a5bca","male","bouche à oreille","TRUE","TRUE","23/10/2022","23/11/2022","VRAI","TRUE"
"637e33d25611a441750a5bae","female","autre","FALSE","FALSE","23/10/2022","29/11/2022","VRAI","TRUE"
"637d563a5611a441750a5aad","female","bouche à oreille","FALSE","TRUE","23/10/2022","22/11/2022","VRAI","TRUE"
"637d0b6e5611a441750a5a6d","male","bouche à oreille","FALSE","FALSE","22/10/2022","28/11/2022","VRAI","TRUE"
"637c91df5611a441750a598b","female","autre","FALSE","FALSE","22/10/2022","22/11/2022","VRAI","TRUE"
"637c8a715611a441750a5984","male","autre","FALSE","FALSE","22/10/2022","22/11/2022","VRAI","TRUE"
"637c819a5611a441750a596a","female","bouche à oreille","FALSE","FALSE","22/10/2022","22/11/2022","VRAI","TRUE"
"637b7b6f5611a441750a5867","male","bouche à oreille","FALSE","FALSE","21/10/2022","11/08/2023","VRAI","TRUE"
