_id,intitule,localisation,date_debut,date_fin,replacement_or_creation,presentiel_distanciel,isClosed,daysPlanned,forfait_remuneration
64ee3ba288afda3cddd6f268,gestion équipes RH,Bordeaux,17/05/2024,03/06/2024,création de poste,,FALSE,,hourly
64ee3b6088afda3cddd6f266,gestion de crise,Bordeaux,20/02/2024,08/03/2024,création de poste,,FALSE,,hourly
64ee3b1088afda3cddd6f264,Entretiens RH,Bordeaux,22/09/2023,14/12/2023,création de poste,,FALSE,,hourly
64ee3afc88afda3cddd6f262,Entretiens RH,Bordeaux,22/09/2023,14/12/2023,création de poste,,FALSE,,hourly
64ee3a2b88afda3cddd6f25f,GESTION DU RISQUE DE CHANGE,Bordeaux,18/09/2023,23/04/2024,reconduction,,FALSE,,hourly
64ee39d488afda3cddd6f25c,GESTION DU RISQUE DE CHANGE,Bordeaux,18/09/2023,23/04/2024,reconduction,,FALSE,,hourly
64ee399588afda3cddd6f25a,FINANCE ANGLOSAXONNE,Bordeaux,21/09/2023,22/04/2024,reconduction,,FALSE,,hourly
64ee38d388afda3cddd6f256,Pilotage du contrôle interne,Bordeaux,16/11/2022,09/12/2022,Création de poste,,FALSE,,
64ee387688afda3cddd6f253,Stratégie,Bordeaux,22/04/2024,26/04/2024,création,,FALSE,,hourly
64ee37dc88afda3cddd6f250,Gestion grands comptes,Bordeaux,01/10/2023,31/05/2024,création,,FALSE,,hourly
64ee369d88afda3cddd6f24c,Audit fiscal,Bordeaux,18/07/2023,18/07/2023,création,,FALSE,,hourly
64ee35a288afda3cddd6f248,Management de la communication financière,Bordeaux,06/02/2023,17/04/2023,Création de poste,,FALSE,,hourly
64edc6e888afda3cddd6f18f,Jury Soutenance WIS 3,Bordeaux,13/09/2023,14/09/2023,Création,,FALSE,,hourly
64ecd95d364aa0079116ade2,Directeur de mémoire Bachelor _ soutenance,Bordeaux,03/03/2023,27/08/2023,RECONDUCTION,,TRUE,,hourly
64ecd8c5364aa0079116adde,Directeur de mémoire Bachelor,Bordeaux,03/03/2023,27/08/2023,RECONDUCTION,,TRUE,,hourly
64ecd86a364aa0079116adda,Directeur de mémoire Bachelor _ soutenance,Bordeaux,03/03/2023,27/08/2023,RECONDUCTION,,TRUE,,hourly
64ecd7ea364aa0079116add8,Directeur de mémoire,Bordeaux,03/07/2024,27/08/2024,RECONDUCTION,,TRUE,,hourly
64ecd657364aa0079116add2,Directeur de mémoire - soutenance,Bordeaux,03/07/2024,27/08/2024,RECONDUCTION,,FALSE,,hourly
64ecd566364aa0079116adcf,Directeur de mémoire,Bordeaux,03/07/2024,27/08/2024,RECONDUCTION,,FALSE,,hourly
64ecd0b2364aa0079116adc4,Méthodologie de mémoire,Bordeaux,05/04/2023,16/04/2023,Création de poste,,TRUE,,hourly
64eccf46364aa0079116adbc,Méthodologie de mémoire,Bordeaux,01/09/2023,30/06/2024,Création de poste,,TRUE,,hourly
